"","V1"
"f_married_n_28",10
"m_single_n_23",3
"m_married_y_27",9
"m_single_n_27",4
"f_married_y_61",8
"m_married_n_31",8
"m_married_y_66",8
"m_single_n_36",6
"m_married_y_37.0",5
"m_single_n_25",6
"m_married_n_24",3
"f_married_y_27",2
"f_married_y_29",2
"m_single_y_25",7
"f_single_n_27",4
"f_single_n_35",4
"m_single_n_49",4
"f_married_y_25",3
"f_single_n_30",6
"m_married_y_29",10
"m_single_y_22",2
"m_single_n_25.0",1
"m_married_y_34",1
"f_married_y_25",1
"f_married_n_47.0",8
"f_married_y_29",1
"m_married_y_34",9
"f_married_y_34",3
"m_married_y_32",5
"m_married_y_32",1
"f_single_n_26",10
"f_married_y_61",1
"m_married_y_32.0",8
"f_single_n_22",4
"m_married_n_55",3
"m_married_n_66",1
"f_married_y_41.0",8
"f_married_y_33",6
"f_married_y_33.0",2
"m_single_n_49",2
"m_married_y_39",6
"m_married_y_37.0",1
"f_married_y_32",9
"m_single_n_30",1
"m_single_n_29",6
"m_single_n_25",1
"m_married_y_39",6
"m_single_n_28",9
"m_married_y_25.0",10
"m_married_n_26",9
"m_married_y_32",5
"m_single_n_37",8
"m_married_y_25",8
"m_married_y_40",2
"m_married_y_41",1
"m_married_y_37.0",1
"m_married_y_23",4
"m_married_y_28.0",2
"f_married_y_44",1
"m_single_n_32",3
"m_single_n_22",10
"m_single_n_24",7
"f_married_y_41.0",1
"f_single_n_23",4
"m_single_n_22.0",5
"m_single_n_55",1
"m_single_n_21",2
"m_single_n_30",1
"m_single_n_30",4
"m_single_n_27",5
"f_single_y_26",1
"f_married_y_41",4
"m_single_n_23",4
"m_single_n_22.0",2
"m_single_n_22",3
"m_married_n_30.0",1
"m_single_n_24.0",7
"m_single_n_34",8
"f_single_n_45.0",1
"m_married_y_38",6
"m_single_n_29",4
"m_married_n_27.0",6
"m_single_n_32.0",4
"m_married_y_39.0",6
"m_single_n_23.0",8
"m_single_n_24.0",4
"m_single_n_24",10
"f_single_n_26",1
"m_married_y_26.0",3
"f_single_n_21.0",8
"m_single_n_27.0",2
"f_single_n_25.0",6
"m_married_n_38.0",8
"m_single_n_32",4
"m_single_n_26",2
"m_married_y_43.0",6
"f_single_n_25",5
"m_single_n_22.0",5
"m_single_n_35",5
"m_single_n_25",7
"m_single_n_25",8
"m_single_n_31.0",9
"f_single_n_50.0",9
"m_single_y_29.0",3
"m_single_y_26.0",1
"f_married_n_25.0",4
"m_single_n_20.0",6
"f_married_y_48",1
"m_married_n_35.0",5
"m_single_n_24.0",6
"m_single_n_28.0",2
"m_single_n_22.0",4
"f_married_y_27.0",3
"m_married_y_28.0",3
"m_single_n_19",2
"m_married_y_37",8
"m_single_n_28",5
"m_married_n_35",4
"f_married_y_42",3
"m_single_y_44",9
"f_single_n_19.0",6
"f_married_y_33.0",9
"m_single_n_30.0",1
"m_single_n_20",1
"f_single_n_41.0",9
"m_single_n_21.0",3
"m_single_y_27",4
"m_single_n_23",8
"m_single_n_21",9
"m_married_y_50",7
"m_single_n_32",6
"m_married_n_30.0",9
"f_married_n_30.0",2
"m_single_n_41.0",2
"m_married_y_34",6
"m_single_n_26.0",3
"f_single_n_23.0",1
"m_single_n_24.0",10
"m_single_n_23.0",8
"m_single_n_30",1
"m_single_n_21",8
"f_married_y_30.0",9
"m_single_n_25.0",10
"m_married_y_41.0",4
"m_single_n_24",6
"m_single_n_25.0",1
"m_single_n_25.0",9
"f_married_y_32.0",4
"m_single_n_25",6
"m_single_n_22",6
"f_single_n_23",7
"f_single_y_43.0",4
"m_single_n_25",10
"m_married_y_28.0",4
"m_single_n_25",9
"f_married_y_41.0",3
"m_single_n_31.0",9
"m_single_n_34",1
"f_single_n_25",10
"m_single_n_29",10
"f_married_y_35.0",7
"f_single_n_26",4
"m_married_y_26.0",3
"f_married_y_49",4
"m_married_n_32.0",8
"f_single_n_25.0",10
"m_married_n_26",10
"m_married_y_36.0",4
"f_single_n_24",6
"m_single_n_28.0",4
"m_married_y_52",8
"m_single_n_25.0",6
"m_married_y_43.0",1
"m_single_n_24",1
"m_single_n_35",4
"f_married_n_31.0",9
"f_married_n_27",4
"m_single_n_34",1
"f_single_n_23",9
"m_single_n_43.0",6
"m_single_n_22.0",1
"m_single_n_23",10
"m_single_n_31.0",3
"m_single_n_29",1
"m_single_y_25",4
"f_single_n_39",1
"m_single_n_24.0",7
"m_single_n_28",10
"f_married_y_42",7
"f_married_y_43.0",4
"m_single_n_26.0",8
"f_single_n_18",1
"f_single_n_25",4
"m_single_n_19",1
"f_single_n_38.0",4
"f_married_y_40.0",1
"m_single_n_21",8
"f_single_n_25",6
"m_married_n_31",10
"f_married_y_24.0",4
"m_single_n_22",4
"m_single_n_32",3
"m_married_y_31",2
"f_single_n_31.0",8
"m_married_y_41.0",4
"f_single_n_26",9
"f_single_n_22",6
"m_single_n_24",2
"m_married_y_69",2
"m_single_n_25.0",10
"m_single_n_31.0",7
"f_married_y_38.0",10
"m_single_n_28.0",6
"f_single_n_42.0",9
"f_married_y_36.0",1
"m_single_n_22",10
"m_married_n_37.0",10
"f_married_n_24",5
"m_single_n_22",6
"m_single_n_39.0",9
"f_single_y_27",4
"m_married_n_41",4
"m_married_y_39.0",6
"f_single_n_27.0",6
"m_married_y_33.0",10
"f_single_n_21",8
"f_single_n_26",2
"f_married_y_35.0",9
"m_married_y_34.0",4
"m_married_y_26.0",3
"f_single_n_28.0",1
"m_single_n_23.0",6
"m_single_n_32",2
"f_single_n_24",8
"m_single_n_33.0",3
"m_married_n_42.0",2
"f_married_y_41.0",2
"m_single_n_22.0",1
